method_beta,threshold_analysis,F1_mean,FPR_mean,PR_AUC_mean,threshold_mean
CB-Score_0.2,fixed_0.5,0.9059994921342688,0.06797432239657632,0.9871604972541802,0.5
CB-Score_0.2,method_specific,0.9195887267491465,0.046366797432239655,0.9871604972541802,0.403
CB-Score_0.2,shared_full_threshold,0.905655284520113,0.04447664051355207,0.9871604972541802,0.53
CB-Score_0.4,fixed_0.5,0.8856491703996356,0.0038917617689015692,0.987542664249374,0.5
CB-Score_0.4,method_specific,0.9154162234094376,0.041280313837375175,0.987542664249374,0.197
CB-Score_0.4,shared_full_threshold,0.8885961209203767,0.007235199714693295,0.987542664249374,0.53
Full-Contextual_Full,fixed_0.5,0.9208971905656447,0.11834432952924394,0.9874069072980145,0.5
Full-Contextual_Full,method_specific,0.9218090119020942,0.04709789586305278,0.9874069072980145,0.53
Full-Contextual_Full,shared_full_threshold,0.9218090119020942,0.04709789586305278,0.9874069072980145,0.53
