dataset_protocol,beta,endpoint,rank,method,value
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,5,Oort-Style-Adapted,0.023756575596717244
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,6,Utility-Cost-Ratio,0.02385399184438011
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,7,Oracle-Score-Exact,0.024141797039229695
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,8,Utility-Only,0.024794314992873233
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,1,Oort-Style-Adapted,3096792.1
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,2,Utility-Cost-Ratio,3220195.0
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,3,Utility-Only,3221146.0
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,4,Random-Budget,3412598.3
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,5,Historical-DoubleCost,3429782.2
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,6,CB-Score,3454585.1
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,7,Oracle-Score-Exact,3481058.7
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,8,Cost-Only,3580914.2
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,1,Oort-Style-Adapted,5169400.5
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,2,Utility-Cost-Ratio,5292677.1
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,3,Utility-Only,5293517.2
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,4,Random-Budget,5483959.5
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,5,Historical-DoubleCost,5502385.1
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,6,CB-Score,5527114.6
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,7,Oracle-Score-Exact,5553570.2
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,8,Cost-Only,5653959.5
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,1,Utility-Cost-Ratio,0.011718449378315501
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,2,Random-Budget,0.009522812748853313
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,3,Utility-Only,0.008955353771429609
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,4,CB-Score,0.006844135995264594
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,5,Historical-DoubleCost,0.006109941678896441
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,6,Cost-Only,0.005036981429087325
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,7,Oracle-Score-Exact,0.004806945264110012
CICIDS2017_COVERAGE_R1,0.4,metric_f1_mean,8,Oort-Style-Adapted,0.0047774708226296205
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,1,Utility-Cost-Ratio,0.2037429257012585
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,2,Random-Budget,0.19543808655926953
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,3,Utility-Only,0.19244948702365305
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,4,CB-Score,0.18201893028975738
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,5,Oort-Style-Adapted,0.18042954581464102
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,6,Historical-DoubleCost,0.18040001564614294
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,7,Cost-Only,0.17942539039746858
CICIDS2017_COVERAGE_R1,0.4,metric_pr_auc_mean,8,Oracle-Score-Exact,0.17380806834349702
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,1,Random-Budget,0.002756025280370797
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,2,CB-Score,0.005068721181026733
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,3,Cost-Only,0.005739013327226303
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,4,Historical-DoubleCost,0.00848512607713316
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,5,Oort-Style-Adapted,0.009668818939085791
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,6,Utility-Only,0.01083883934522609
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,7,Oracle-Score-Exact,0.012497650046657255
CICIDS2017_COVERAGE_R1,0.4,metric_fpr_mean,8,Utility-Cost-Ratio,0.012802545811272256
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,1,Oort-Style-Adapted,5898878.2
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,2,Utility-Cost-Ratio,5928556.1
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,3,Utility-Only,5939592.8
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,4,CB-Score,6483982.9
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,5,Historical-DoubleCost,6515762.2
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,6,Oracle-Score-Exact,6735898.5
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,7,Random-Budget,6891297.0
CICIDS2017_COVERAGE_R1,0.4,comm_selected_uplink_mean,8,Cost-Only,7241120.7
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,1,Oort-Style-Adapted,7971929.0
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,2,Utility-Cost-Ratio,8001625.9
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,3,Utility-Only,8012673.8
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,4,CB-Score,8557196.4
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,5,Historical-DoubleCost,8588979.4
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,6,Oracle-Score-Exact,8809207.3
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,7,Random-Budget,8962781.4
CICIDS2017_COVERAGE_R1,0.4,comm_E2E_broadcast_mean,8,Cost-Only,9314624.6
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,1,Utility-Cost-Ratio,0.00693901269300346
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,2,Oort-Style-Adapted,0.006886164184086656
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,3,Utility-Only,0.006421647886610464
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,4,Random-Budget,0.0061013387093340875
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,5,Oracle-Score-Exact,0.004941783165722891
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,6,CB-Score,0.004810450728695687
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,7,Historical-DoubleCost,0.004810450728695687
CICIDS2017_COVERAGE_R1,0.6,metric_f1_mean,8,Cost-Only,0.0037067821808148913
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,1,Utility-Only,0.1920326262070726
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,2,Utility-Cost-Ratio,0.19178237619333405
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,3,Oort-Style-Adapted,0.18977020869576547
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,4,Random-Budget,0.18159439789128698
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,5,Cost-Only,0.17850715203070383
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,6,CB-Score,0.1766355821210914
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,7,Historical-DoubleCost,0.1766355821210914
CICIDS2017_COVERAGE_R1,0.6,metric_pr_auc_mean,8,Oracle-Score-Exact,0.17569785752903092
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,1,Random-Budget,0.001831083644666546
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,2,Utility-Only,0.0025300879480720127
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,3,Utility-Cost-Ratio,0.0025670035787653087
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,4,Oracle-Score-Exact,0.002652456427592383
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,5,Oort-Style-Adapted,0.004632228029218038
