dataset_protocol,seed,beta,method,endpoint,normalized_auc,start_value,end_value
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,validation_PR_AUC,0.04060656677039691,0.03706839742625111,0.03318929178626014
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,validation_FPR,0.025515990451249373,0.0014262730447285737,0.08249920377404381
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,validation_F1,0.029457942487066593,0.0,0.002045318092441545
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,validation_PR_AUC,0.039481133254717735,0.03706839742625111,0.03170171976683582
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,validation_FPR,0.052903166692743704,0.0014262730447285737,0.007082084259030619
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,validation_F1,0.03949251772225206,0.0934784035213452,0.002082248828735
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,validation_PR_AUC,0.044930826030079606,0.04636805830865332,0.0418929450721885
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,validation_FPR,0.04328725731522017,0.2265913675310012,0.0164266426642664
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,validation_F1,0.0189237039838496,0.0,0.05447560610504164
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,validation_PR_AUC,0.03765512335841609,0.03706839742625111,0.033055425062602097
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,validation_FPR,0.02895740654563185,0.0014262730447285737,0.250300297869161
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,validation_PR_AUC,0.0328944771320707,0.0328001974846566,0.031662828529819456
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,validation_FPR,0.008059194370207313,0.0548032075934866,0.0017111510050795704
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,validation_F1,0.02822157557820611,0.0,0.0011200140220749633
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,validation_PR_AUC,0.040655966033349034,0.034769115081384604,0.03053050648665312
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,validation_FPR,0.01303940228487457,0.022687235587232034,0.0032529932581591915
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,validation_PR_AUC,0.03161122503085769,0.03690229805136907,0.029447861534868777
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,validation_FPR,0.0005590797482961451,0.0014037606247930354,0.0005424454066519958
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,validation_F1,0.037564762629491134,0.0387226431592311,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,validation_PR_AUC,0.04196572178341664,0.04571432856107005,0.03066910499302005
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,validation_FPR,0.03059959593228625,0.07000464613527271,0.0017537331711127762
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,validation_F1,0.037564762629491134,0.0387226431592311,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,validation_PR_AUC,0.04196572178341664,0.04571432856107005,0.03066910499302005
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,validation_FPR,0.03059959593228625,0.07000464613527271,0.0017537331711127762
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,validation_F1,0.05945064439040942,0.0387226431592311,0.0
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,validation_PR_AUC,0.052382834191895655,0.04571432856107005,0.0396538956578993
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,validation_FPR,0.029233972649142324,0.07000464613527271,4.091318222731364e-05
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,validation_F1,0.05945064439040942,0.0387226431592311,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,validation_PR_AUC,0.052382834191895655,0.04571432856107005,0.0396538956578993
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,validation_FPR,0.029233972649142324,0.07000464613527271,4.091318222731364e-05
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,validation_F1,0.046647221715140914,0.08906110052332734,0.007086449146656116
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,validation_PR_AUC,0.0449558718307047,0.047962282525367765,0.034501914504049
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,validation_FPR,0.027930298040436768,0.16730148394252958,0.008663713822930401
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,validation_F1,0.031121665615911023,0.0387226431592311,0.0
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,validation_PR_AUC,0.03898089245445781,0.04571432856107005,0.03340414037598682
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,validation_FPR,0.029526578919233323,0.07000464613527271,0.0005114147778414
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,validation_PR_AUC,0.03229869417033026,0.0328001974846566,0.030883107596323293
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,validation_FPR,0.006881898971370871,0.0548032075934866,0.0017419634672053079
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,validation_F1,3.594325849877953e-05,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,validation_PR_AUC,0.03321292546097043,0.03665665827138436,0.032577987796165435
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,validation_FPR,0.001879167114893815,0.000785289408669139,0.0007027315215241396
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,validation_PR_AUC,0.03148308383919471,0.03652101574177427,0.030908922268766913
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,validation_FPR,0.0014590739055778397,0.00921914866710482,0.0007575377235438115
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,validation_F1,0.018654264544545766,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,validation_PR_AUC,0.037069886680420105,0.03585372174795863,0.03286333329943235
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,validation_FPR,0.010596486226861426,0.022680752313575234,0.0009154340915035832
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,validation_F1,0.018654264544545766,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,validation_PR_AUC,0.037069886680420105,0.03585372174795863,0.03286333329943235
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,validation_FPR,0.010596486226861426,0.022680752313575234,0.0009154340915035832
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,validation_F1,0.0008216417624197407,0.027170069790084697,0.0
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,validation_PR_AUC,0.03185349810248576,0.04129927177865398,0.0260762047016829
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,validation_FPR,0.008326067011149524,0.06935933529434282,0.0028639227559119
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,validation_F1,0.0008216417624197407,0.027170069790084697,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,validation_PR_AUC,0.03185349810248576,0.04129927177865398,0.0260762047016829
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,validation_FPR,0.008326067011149524,0.06935933529434282,0.0028639227559119
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,validation_F1,0.007776590181931909,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,validation_PR_AUC,0.035372918738888634,0.03585372174795863,0.033724120506507346
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,validation_FPR,0.010296992550348393,0.022680752313575234,0.0012320872129040882
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,validation_F1,0.0007567895294043103,0.027170069790084697,0.0
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,validation_PR_AUC,0.032637191243944146,0.04129927177865398,0.030152040329409567
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,validation_FPR,0.008483014385275692,0.06935933529434282,0.0007991901311700842
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,validation_F1,7.663989704647873e-05,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,validation_PR_AUC,0.03234545107001108,0.0328001974846566,0.03319824236770081
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,validation_FPR,0.006100976652587254,0.0548032075934866,0.0017137129438230141
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,validation_PR_AUC,0.03151530986604048,0.03392093733100064,0.032295305197816884
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,validation_FPR,0.004409352299162983,0.03115023437040905,0.0009029160078891017
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,validation_PR_AUC,0.03210943759033157,0.03444628081646316,0.033394142195827134
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,validation_FPR,0.0035714232882619068,0.029676851886551926,0.0008848938362005627
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,validation_F1,0.011739612252611095,0.12640920059326316,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,validation_PR_AUC,0.032351612281029174,0.0598721576566728,0.030029917653730424
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,validation_FPR,0.006722780183839491,0.04203989016839786,0.0009156706645400466
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,validation_F1,0.011739612252611095,0.12640920059326316,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,validation_PR_AUC,0.032351612281029174,0.0598721576566728,0.030029917653730424
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,validation_FPR,0.006722780183839491,0.04203989016839786,0.0009156706645400466
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,validation_F1,0.0038127030148023193,0.1377240298032172,0.0
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,validation_PR_AUC,0.03184942295223038,0.06186021613058153,0.0306375151623527
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,validation_FPR,0.008523431698470826,0.04568450040383122,0.0003068488667048
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,validation_F1,0.0038127030148023193,0.1377240298032172,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,validation_PR_AUC,0.03184942295223038,0.06186021613058153,0.0306375151623527
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,validation_FPR,0.008523431698470826,0.04568450040383122,0.0003068488667048
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,validation_F1,0.011739612252611095,0.12640920059326316,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,validation_PR_AUC,0.032351612281029174,0.0598721576566728,0.030029917653730424
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,validation_FPR,0.006722780183839491,0.04203989016839786,0.0009156706645400466
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,validation_F1,0.0038127030148023193,0.1377240298032172,0.0
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,validation_PR_AUC,0.03184942295223038,0.06186021613058153,0.0306375151623527
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,validation_FPR,0.008523431698470826,0.04568450040383122,0.0003068488667048
