dataset_protocol,beta,method,endpoint,n_seeds,normalized_auc_mean,normalized_auc_sd,end_value_mean
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,validation_FPR,10,0.03598928884749557,0.011435262663658302,0.027481842276996623
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,validation_PR_AUC,10,0.0361505820147779,0.00653588798837458,0.0407221526753829
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_F1,10,0.020169801142603295,0.02844401660432951,0.012445829391545118
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_FPR,10,0.030508877420991842,0.02464359912475715,0.03580020114210748
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_PR_AUC,10,0.035389070835759456,0.007608040772903442,0.03625399344471255
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_F1,10,0.0082265419819131,0.008928193982599952,0.018044412505119133
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_FPR,10,0.057849994539477874,0.056655530886495595,0.07586389633519647
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_PR_AUC,10,0.03616508433971545,0.006945375527098139,0.04431780280184197
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_F1,10,0.026444792227375103,0.01804099760951341,0.04300067682081419
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_FPR,10,0.040521238576119355,0.026446575406986056,0.055914498234916045
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_PR_AUC,10,0.03937568260282694,0.009499921163547184,0.04754057541290019
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_F1,10,0.031128398543128575,0.015821833543704984,0.04370765956058212
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_FPR,10,0.04312278545029782,0.025584688247323812,0.05668809569505851
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_PR_AUC,10,0.04076874036083824,0.008422916744917422,0.04719275503797509
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_F1,10,0.010775635615645832,0.01774557231985371,0.02124302529688493
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_FPR,10,0.024089693456662377,0.0149364018837949,0.015584846241660778
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_PR_AUC,10,0.03254399649984971,0.007374480807072942,0.03661229919004075
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,validation_F1,10,0.0012022825810076286,0.0030300883302014398,0.00021634943042361514
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,validation_FPR,10,0.026507112566146174,0.045010646054457204,0.029830333860295866
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,validation_PR_AUC,10,0.028884523172490725,0.002404233265827243,0.028584383236164586
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,validation_F1,10,0.0003551126119042072,0.0003594514999028066,0.00036881816151485203
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,validation_FPR,10,0.026235361768298333,0.01644509116757238,0.029242276644179475
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,validation_PR_AUC,10,0.029799297247512745,0.0023574171455040473,0.026979554255574946
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,validation_F1,10,0.009814914555259622,0.018056259229556802,0.007947211557671677
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,validation_FPR,10,0.023051299619657153,0.01584909460282724,0.011167956412451904
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,validation_PR_AUC,10,0.032494722697885704,0.007456867378970599,0.03378803040620124
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,validation_F1,10,0.015442150034518293,0.013616548227010382,0.010287476866628531
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,validation_FPR,10,0.030520778519908826,0.023992802483388323,0.010022731955398833
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,validation_PR_AUC,10,0.034398301852936984,0.006721696228109742,0.03395584729972957
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,validation_F1,10,0.004804537328339782,0.009976740923650005,0.00026089915003119746
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,validation_FPR,10,0.017103965522999445,0.008114618370645735,0.018972761173194217
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,validation_PR_AUC,10,0.029970053823550478,0.003955172036621676,0.03030268351738748
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,validation_F1,10,0.004478580227965699,0.00881439781389244,0.0006450624299069502
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,validation_FPR,10,0.05632185510283069,0.04966116316179878,0.04712166463462697
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,validation_PR_AUC,10,0.03233762321240552,0.0049450383320289,0.03858288004659023
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,validation_F1,10,0.014375203548265233,0.012367898972160883,0.028255503803720366
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,validation_FPR,10,0.02705195568107749,0.008699721956388119,0.007933349421383388
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,validation_PR_AUC,10,0.03330862534187298,0.004829290870167949,0.03922135559961497
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,validation_F1,10,0.014554053507117859,0.012970805333640076,0.0015385865091110205
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,validation_FPR,10,0.027092973065432804,0.008653689511338478,0.00653010544783119
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,validation_PR_AUC,10,0.03313310980450413,0.0048322825751690715,0.03406846135068562
CICIDS2017_COVERAGE_R1,0.6,CB-Score,validation_F1,10,0.0012120142361117623,0.0022623299218142616,0.0004650699469057141
CICIDS2017_COVERAGE_R1,0.6,CB-Score,validation_FPR,10,0.019089169055780415,0.01436640387220147,0.01194645336569819
CICIDS2017_COVERAGE_R1,0.6,CB-Score,validation_PR_AUC,10,0.02910789661366795,0.002067583066076298,0.0300056716661347
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,validation_F1,10,0.0003225573377600766,0.0004457374315188959,0.00021099998905848235
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,validation_FPR,10,0.02949675844365463,0.045839443488897305,0.02916520916774787
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,validation_PR_AUC,10,0.028407230043421678,0.0021135389252507856,0.028587223173809243
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,validation_F1,10,0.0003395250730701337,0.00033937585969722226,0.0005114407889893122
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,validation_FPR,10,0.026616634156613903,0.019975285556164603,0.028182981941001065
