dataset,beta,mean_seed_pearson_r,pearson_ci_low,pearson_ci_high,mean_seed_spearman_rho,spearman_ci_low,spearman_ci_high,rank_validity
CICIDS2017_COVERAGE_R1,0.1,0.051772154826603856,-0.28367167297665974,0.39641027625280106,0.0482613379195388,-0.21728782100641328,0.2954866356839843,INCONCLUSIVE
CICIDS2017_COVERAGE_R1,0.2,0.011329860289602044,-0.23792060851620975,0.2543915553460696,0.10416017797552835,-0.12080088987764181,0.310166852057842,INCONCLUSIVE
CICIDS2017_COVERAGE_R1,0.4,0.12373611640308206,-0.11157467781245982,0.3654924152778741,0.19074137185426002,0.004877139142581081,0.34438487208008883,SUPPORTED
CICIDS2017_COVERAGE_R1,0.6,0.5727856922826053,0.45560869777490093,0.6886937806331727,0.513624921672594,0.40003501309890865,0.6325405809908494,SUPPORTED
CICIDS2017_COVERAGE_R1,0.8,0.5723585537776281,0.32263031802692466,0.7549058408997019,0.6046269840651665,0.4985962343296909,0.7120800889877643,SUPPORTED
CICIDS2017_COVERAGE_R1,1.0,0.5283929895992545,0.2597615450564914,0.7516699589750951,0.5099927351244816,0.3463876183280411,0.6681278506716553,SUPPORTED
CICIoT2023_R1,0.1,0.6237890650402321,0.45750909403497736,0.7997598943503926,0.5763326159103098,0.5038520028173652,0.6454155531995909,SUPPORTED
CICIoT2023_R1,0.2,0.5376655452600387,0.3590650343907496,0.6984161353305004,0.19853170189099,-0.036842046718576174,0.4297263626251387,INCONCLUSIVE
CICIoT2023_R1,0.4,0.7217395024285413,0.4638960293405209,0.9149021094446,0.05139043381535038,-0.21024026696329254,0.3046974416017794,INCONCLUSIVE
CICIoT2023_R1,0.6,0.8404333310384278,0.6251309366335569,0.971504134138902,-0.01566184649610678,-0.2025862068965517,0.16662958843159065,INCONCLUSIVE
CICIoT2023_R1,0.8,0.911199754489337,0.8318749737639255,0.9706167146779879,-0.060111234705228035,-0.21330367074527254,0.12302669632925461,INCONCLUSIVE
CICIoT2023_R1,1.0,0.9381001523454808,0.8844397535785523,0.9760404220229791,-0.036173526140155746,-0.25606340378198,0.20791991101223584,INCONCLUSIVE
