hypothesis_id,family,family_size,dataset,beta,comparison,endpoint,null,alternative,test,multiplicity,status,threshold_analysis,mean_delta,ci_low,ci_high,one_sided_lower_95,one_sided_upper_95,raw_p,margin,paired_dz,wins,losses,ties,holm_adjusted_p,decision
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.8,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0019416916404294883,-0.006979112528031014,0.0025645443402446517,-0.006114686038801919,0.0018947888986276973,0.0009765625,0.02,-0.24050589051282772,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b1.0,F1_NI_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0012916155608387436,-0.0008049331620400052,0.003983448061368192,-0.000547978950404271,0.0035096728980376648,0.0009765625,0.02,0.313036254236217,6,4,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.1,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.03188556360971241,-0.006623774909230723,0.09164263093034625,-0.0038457799283424673,0.08348032139218237,0.0029296875,0.02,0.3568678048110299,5,5,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.2,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.007546460585718992,0.0013538639896141273,0.014457972589275959,0.002202450788950861,0.013325136163716163,0.0009765625,0.02,0.6679908411234492,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.4,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.008275379309295509,-0.003309734582164413,0.02270696366402646,-0.0017943889774957307,0.02021776619482957,0.0009765625,0.02,0.37027928922104164,8,2,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.6,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.002892031140629517,-0.004971982936432714,0.014706900220108947,-0.004308449689198271,0.013091006470722978,0.0009765625,0.02,0.16204809264095335,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.8,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.011162127089168309,0.0013752911834878797,0.022638620226025735,0.0027281008798065187,0.020699504492363064,0.0009765625,0.02,0.6122720078153606,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.013470308378051457,0.001524100388522217,0.028045563936195915,0.003184550462741259,0.025414545103038876,0.0009765625,0.02,0.5950874402871097,9,1,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.1,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.02089555016875493,-0.061916867116097236,0.00014387646409464385,-0.06145190772798985,-5.2245827480381144e-05,0.5009765625,0.02,-0.3249633486062915,4,6,0,0.5009765625,INCONCLUSIVE
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.2,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.00024641004383428865,-0.001017885545270382,0.00043655242208796575,-0.0008807923489613545,0.00034046253259410904,0.0009765625,0.02,-0.19952258796490382,3,7,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.4,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.00013575695135950027,-0.00044027659985418355,0.0005868184319533904,-0.0003380540585054159,0.0005336901711267778,0.0009765625,0.02,0.15258337301038746,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.6,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,7.635540313921663e-05,-0.0007186799545014128,0.000840151201098167,-0.0005871273261596649,0.0007262515854224887,0.0009765625,0.02,0.05762277493688773,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.8,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0001238545826872106,-0.0005340929230295699,0.0008397280913990244,-0.0004449438540165995,0.0007200616202087749,0.0009765625,0.02,0.10533815687182822,5,5,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b1.0,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.000442869999534623,-3.804197608363229e-05,0.0009931541133944258,2.5849060656223397e-05,0.0008997480573562376,0.0009765625,0.02,0.5032939343114319,6,4,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.1,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0260289377527268,0.001455663643914561,0.06435946253576198,0.003332626923116362,0.05934303849821745,0.8818359375,0.0025,0.4508985922663502,8,2,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.2,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0072956224214602875,0.001272555279447906,0.017535668019100413,0.0015346989837947218,0.016611726181727442,0.748046875,0.0025,0.47274638437226235,10,0,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.4,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.003839567403498098,0.00042999019001295486,0.007290179074989999,0.0009454332288529835,0.0067268482596672795,0.7607421875,0.0025,0.659807852599257,6,4,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.6,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.005157933955202199,-0.0012172074692626102,0.015956798457746987,-0.0009284281119363956,0.015209632928742578,0.5078125,0.0025,0.3150012271250795,7,3,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.8,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.001126610358936146,0.0003308477948037832,0.002147669359001084,0.0004153008452995806,0.00196580860612731,0.015625,0.0025,0.7180382186678892,9,1,0,0.171875,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,FPR_SAFETY_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.004638380634333587,0.00011278921516685526,0.012597980236465104,0.0002679459527821738,0.012112428604144803,0.5068359375,0.0025,0.3805379395950221,7,3,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.1,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.02101462196861626,-0.01134105296005706,0.07479103512838797,-0.008987384094151214,0.07035083808844507,0.544921875,0.0025,0.26000119063341465,5,5,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.2,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0007310984308131242,-0.003668977353780314,0.0023805278174037084,-0.0032498216833095573,0.0018812410841654776,0.0400390625,0.0025,-0.14081510585462437,4,6,0,0.400390625,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.4,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.005817582025677604,-0.017858416547788872,0.003659950071326676,-0.01568763373751783,0.0028040299572039936,0.1328125,0.0025,-0.313123807460197,5,5,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.6,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0007890513552068483,-0.0029377674750356636,0.0011144793152639075,-0.0025543865905848792,0.0008157988587731799,0.0048828125,0.0025,-0.22912613360211537,3,7,0,0.05859375,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b0.8,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0024563124108416545,-0.012112161198288156,0.0041280313837375165,-0.010614300998573464,0.00351283880171184,0.1708984375,0.0025,-0.17024392040945352,6,4,0,1.0,INCONCLUSIVE
FPR_SAFETY_CB_vs_Full__CICIoT2023_R1__b1.0,FPR_SAFETY_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,FPR,mean_delta >= 0.0025,mean_delta < 0.0025,exact paired sign-flip on 0.0025-delta; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0012927960057061345,-0.0009495363766048502,0.003695724857346638,-0.0006062767475035667,0.0032854850213980035,0.1806640625,0.0025,0.32650058332536763,6,4,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0337947993097488,-0.010624518448248294,0.11140453928679234,-0.008008030423604751,0.10749322360140089,0.3740234375,0.0,0.2854393756654128,3,7,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0337947993097488,-0.010539791168453144,0.11139954704256567,-0.008016687649176195,0.10664473089536501,0.3740234375,0.0,0.2854393756654128,3,7,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.1__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.03660481908187294,-0.002694847097541803,0.1115647488319547,-0.0023372373005514924,0.11014391147871869,0.3525390625,0.0,0.3133362691591498,5,5,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.12684757930261792,-0.2625347940850923,-0.0066983091625471775,-0.24026337530439598,-0.02682188082980955,0.9638671875,0.0,-0.5934552477651337,4,6,0,1.0,INCONCLUSIVE
