dataset_protocol,metadata_view,evaluations,mean_auc_over_attackers_targets_seeds,max_auc,min_auc,worst_attacker,worst_target,worst_seed,worst_auc_ci_low,worst_auc_ci_high,max_group_overlap
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,60,0.5531105185185186,0.6427704444444444,0.36655711111111106,MLP,attack_ratio_above_seed_median,123,0.5655099762506013,0.7209471897924493,0.0
CICIDS2017_COVERAGE_R1,No-Size,60,0.5147696555555555,0.5704544444444445,0.3600253333333333,RandomForest,attack_ratio_above_seed_median,11,0.529205734868181,0.6028248369466882,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,60,0.8378903148148148,0.9921231111111112,0.67394,LogisticRegression,client_size_above_seed_median,314,0.9824171539961013,0.9993172502805837,0.0
CICIDS2017_COVERAGE_R1,Raw,60,0.8456056925925926,0.9910786666666667,0.6753813333333333,MLP,client_size_above_seed_median,123,0.9809185047582251,0.9985703495561801,0.0
CICIoT2023_R1,Minimal-Bucketed,60,0.6074164259259259,0.7083079999999999,0.46875,MLP,attack_ratio_above_seed_median,123,0.6428657091308747,0.7735272803899338,0.0
CICIoT2023_R1,No-Size,60,0.5491323851851851,0.6221328888888888,0.43618755555555555,LogisticRegression,attack_ratio_above_seed_median,314,0.5991736215987463,0.6448264596416344,0.0
CICIoT2023_R1,Noisy-Quantized,60,0.8116390592592593,0.9710008888888889,0.5878677777777778,LogisticRegression,client_size_above_seed_median,9001,0.9461491402379869,0.9903818717906003,0.0
CICIoT2023_R1,Raw,60,0.8513764222222222,0.9692248888888888,0.7120897777777778,LogisticRegression,client_size_above_seed_median,11,0.9412004851144677,0.9895701377706209,0.0
