dataset_protocol,method,beta,threshold_analysis,n,f1_mean,f1_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,fpr_mean,fpr_sd,precision_mean,precision_sd,recall_mean,recall_sd,false_positives_per_10000_benign_mean,false_positives_per_10000_benign_sd,threshold_mean,threshold_sd
CICIDS2017_COVERAGE_R1,CB-Score,0.1,fixed_0.5,10,0.05765998762406151,0.169536166105764,0.2056291145901743,0.08933361750618089,0.34240393237088673,0.13478317724393912,0.05643955578191066,0.13642338579321422,0.39625885718079734,0.287444679418384,0.055415664796509036,0.16447161184921408,564.3955578191066,1364.2338579321422,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,0.1,method_specific,10,0.0406693605016023,0.116864930786182,0.2056291145901743,0.08933361750618089,0.34240393237088673,0.13478317724393912,0.027258091530255435,0.05725373005449542,0.25690782303930315,0.2693549110517266,0.028253851634161543,0.08190746146258844,272.5809153025544,572.5373005449542,0.45899999999999996,0.27053239690982994
CICIDS2017_COVERAGE_R1,CB-Score,0.1,shared_full_threshold,10,0.036224405315460735,0.10416072586422699,0.2056291145901743,0.08933361750618089,0.34240393237088673,0.13478317724393912,0.02521029946096343,0.06527897749068874,0.44646880954262325,0.28889422958460337,0.02452578145872295,0.07061509244816001,252.10299460963432,652.7897749068875,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,CB-Score,0.2,fixed_0.5,10,0.007850822309845202,0.00788393262690418,0.18129001156618088,0.013369098987987315,0.3649420310475299,0.06534044673464019,0.003833756609777857,0.004905052727279299,0.33055023717689,0.18366799217730254,0.004055347760263603,0.004170936693241516,38.33756609777857,49.05052727279299,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,0.2,method_specific,10,0.005148504501016419,0.006492807130288894,0.18129001156618088,0.013369098987987315,0.3649420310475299,0.06534044673464019,0.008524776198988922,0.015514240583613755,0.1829957944083192,0.09438478456520281,0.00268278564431383,0.0034697110872223816,85.24776198988921,155.14240583613756,0.506,0.21798063114771357
CICIDS2017_COVERAGE_R1,CB-Score,0.2,shared_full_threshold,10,0.006373654642171539,0.008486090890637767,0.18129001156618088,0.013369098987987315,0.3649420310475299,0.06534044673464019,0.0181888097785404,0.053089093148185856,0.42052154067613773,0.31328548705222353,0.004000801496126102,0.00655762577172413,181.88809778540397,530.8909314818585,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,CB-Score,0.4,fixed_0.5,10,0.004547397381234373,0.004549461522494538,0.18201893028975738,0.02083385181685645,0.3559232611547113,0.06864552319924247,0.0019240563441904025,0.002153800859642215,0.4192140214996591,0.25069672845586655,0.0023098673078635677,0.002341858953783717,19.240563441904026,21.538008596422156,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,0.4,method_specific,10,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.3559232611547113,0.06864552319924247,0.005068721181026733,0.0050509530655767,0.3701263512926248,0.2865239056888365,0.0035054323626324694,0.002907327670675639,50.687211810267335,50.509530655767,0.485,0.2322953101358508
CICIDS2017_COVERAGE_R1,CB-Score,0.4,shared_full_threshold,10,0.0034592211992494,0.003180016639375845,0.18201893028975738,0.02083385181685645,0.3559232611547113,0.06864552319924247,0.0008627319617581412,0.0014911277648629372,0.5622236371042685,0.2229340230943435,0.0017465936414640662,0.0016324280723384321,8.62731961758141,14.91127764862937,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,CB-Score,0.6,fixed_0.5,10,0.00720758888503793,0.0072734336793269395,0.1766355821210914,0.018398266283662475,0.3497323913127712,0.07053334576604163,0.002860961378730444,0.0016692789154608436,0.25333699201278365,0.10334378660400097,0.003677976667557218,0.0037544434484051556,28.609613787304443,16.692789154608437,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,0.6,method_specific,10,0.004810450728695687,0.006635598450458155,0.1766355821210914,0.018398266283662475,0.3497323913127712,0.07053334576604163,0.006387087732730834,0.016386999268556753,0.38121198613193985,0.15943682585827795,0.0024690533440199485,0.0034301271214089647,63.870877327308335,163.8699926855675,0.7,0.16918103387266026
CICIDS2017_COVERAGE_R1,CB-Score,0.6,shared_full_threshold,10,0.005376122363844818,0.00442872661957771,0.1766355821210914,0.018398266283662475,0.3497323913127712,0.07053334576604163,0.013330302605628267,0.0378143487905029,0.3329690852708204,0.14757983124666738,0.002987799447858224,0.002892170021038828,133.30302605628268,378.14348790502896,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,CB-Score,0.8,fixed_0.5,10,0.010394354588805919,0.010184925315899361,0.18490567806963018,0.017889440689639734,0.3724041648457843,0.07648876152095585,0.020854255039154494,0.04220396915312191,0.29929023397410537,0.23771740813634215,0.005932184522219254,0.0065629048136149675,208.54255039154495,422.0396915312191,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,0.8,method_specific,10,0.004669289966077554,0.0047983686003732415,0.18490567806963018,0.017889440689639734,0.3724041648457843,0.07648876152095585,0.0023557641364647815,0.002615249495506323,0.2981469870704504,0.13719829743438436,0.002369979517321222,0.002468835124337158,23.557641364647814,26.152494955063236,0.632,0.21001587241603115
CICIDS2017_COVERAGE_R1,CB-Score,0.8,shared_full_threshold,10,0.005571317760308671,0.006297720457651263,0.18490567806963018,0.017889440689639734,0.3724041648457843,0.07648876152095585,0.00145098937308372,0.0013560206089801732,0.43184274702492154,0.18588227402749857,0.0028252738445097517,0.00323060943027688,14.509893730837199,13.560206089801733,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,CB-Score,1.0,fixed_0.5,10,0.008536203369277396,0.00800903794696841,0.18721385935851334,0.023424881513089087,0.3763087698197046,0.08478216037284565,0.014524933432230764,0.03925994481590868,0.336999957898987,0.22207984715285467,0.004722148009617954,0.0047452905246639825,145.24933432230765,392.5994481590868,0.5,0.0
CICIDS2017_COVERAGE_R1,CB-Score,1.0,method_specific,10,0.004488324585756518,0.0031806604797708694,0.18721385935851334,0.023424881513089087,0.3763087698197046,0.08478216037284565,0.005867534411862222,0.012182972903352145,0.3093527799157514,0.1659674771774427,0.0023410366016564255,0.0018163529209428233,58.67534411862223,121.82972903352146,0.618,0.23682154556637036
CICIDS2017_COVERAGE_R1,CB-Score,1.0,shared_full_threshold,10,0.00468411566513425,0.004169920088491061,0.18721385935851334,0.023424881513089087,0.3763087698197046,0.08478216037284565,0.0012014670545086633,0.0014532405356146463,0.44182655816019717,0.16545013001958875,0.0023688663282571912,0.002136748293353568,12.014670545086632,14.53240535614646,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,fixed_0.5,10,0.008832229493373214,0.007781451635630305,0.17374355098046187,0.007601204948891591,0.34913084146500706,0.03102190584256352,0.03290994295167812,0.05120782055157744,0.25383859640950857,0.21949977803922954,0.005244233680648322,0.004754316403634466,329.09942951678124,512.0782055157744,0.5,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,method_specific,10,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.34913084146500706,0.03102190584256352,0.0012291537775286352,0.0018202591321881349,0.4661070998572942,0.22237075072441023,0.002142888948258972,0.0022395198099783623,12.291537775286352,18.20259132188135,0.6900000000000001,0.13080944580232387
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,shared_full_threshold,10,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.34913084146500706,0.03102190584256352,0.0012291537775286352,0.0018202591321881349,0.4661070998572942,0.22237075072441023,0.002142888948258972,0.0022395198099783623,12.291537775286352,18.20259132188135,0.6900000000000001,0.13080944580232387
CICIoT2023_R1,CB-Score,0.1,fixed_0.5,10,0.8977624721061906,0.029075427885646658,0.9665113571292596,0.0643928951171179,0.9113761130181715,0.14453075010492725,0.21163962196861624,0.31732615293505195,0.9379750368177397,0.08671488255415892,0.8706801210296463,0.06695330636138312,2116.3962196861626,3173.2615293505196,0.5,0.0
CICIoT2023_R1,CB-Score,0.1,method_specific,10,0.8708963462071168,0.15114014184311414,0.9665113571292596,0.0643928951171179,0.9113761130181715,0.14453075010492725,0.06811251783166904,0.08031502214681091,0.9613302421637311,0.07089479460747711,0.8068056818351195,0.17522520819307744,681.1251783166904,803.1502214681091,0.524,0.2759710129705654
CICIoT2023_R1,CB-Score,0.1,shared_full_threshold,10,0.8998269235979784,0.026881112674588373,0.9665113571292596,0.0643928951171179,0.9113761130181715,0.14453075010492725,0.15312054208273895,0.25595848309505964,0.9529002336008666,0.07334348492360405,0.8588797305152703,0.05515183527321185,1531.2054208273894,2559.584830950596,0.53,0.09213516640723501
CICIoT2023_R1,CB-Score,0.2,fixed_0.5,10,0.9059994921342688,0.018259200136379133,0.9871604972541802,0.0014329934753121777,0.9581472406423059,0.004862703294093291,0.06797432239657632,0.08146378860994759,0.9760904784854644,0.027843785820213362,0.8480571164537718,0.05146369203250071,679.7432239657631,814.6378860994758,0.5,0.0
CICIoT2023_R1,CB-Score,0.2,method_specific,10,0.9195887267491465,0.00619079557939645,0.9871604972541802,0.0014329934753121777,0.9581472406423059,0.004862703294093291,0.046366797432239655,0.004217044689691978,0.9823932602225658,0.0014343194182578408,0.8644050617817591,0.01139395210564231,463.66797432239656,42.17044689691978,0.403,0.1882108746415396
CICIoT2023_R1,CB-Score,0.2,shared_full_threshold,10,0.905655284520113,0.01996191265297002,0.9871604972541802,0.0014329934753121777,0.9581472406423059,0.004862703294093291,0.04447664051355207,0.05202428725636584,0.9838215348582662,0.01841280394841454,0.8408952020390217,0.04702395910878137,444.7664051355207,520.2428725636585,0.53,0.09213516640723501
CICIoT2023_R1,CB-Score,0.4,fixed_0.5,10,0.8856491703996356,0.00798302070050628,0.987542664249374,0.0008182416892775541,0.9592968846529182,0.0026366083796676015,0.0038917617689015692,0.003803105392564239,0.9983930382227888,0.001548733262112433,0.7958981085391483,0.013858584009585527,38.91761768901569,38.03105392564239,0.5,0.0
CICIoT2023_R1,CB-Score,0.4,method_specific,10,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.9592968846529182,0.0026366083796676015,0.041280313837375175,0.01791625553124613,0.9843693202978082,0.006675876294270581,0.8560909809065299,0.028997120224125508,412.8031383737518,179.16255531246128,0.197,0.1284998919152161
CICIoT2023_R1,CB-Score,0.4,shared_full_threshold,10,0.8885961209203767,0.014451209568626477,0.987542664249374,0.0008182416892775541,0.9592968846529182,0.0026366083796676015,0.007235199714693295,0.012302524423272017,0.9971517113524011,0.004688924668240428,0.8018228972589468,0.027139313710836815,72.35199714693296,123.02524423272018,0.53,0.09213516640723501
CICIoT2023_R1,CB-Score,0.6,fixed_0.5,10,0.8933091561920047,0.015401745063094295,0.9874832627011537,0.0011464836119984216,0.9588831833396657,0.0037776384852264877,0.05445345934379458,0.12515941118524718,0.9822527441382694,0.03883069388225241,0.8228197522767584,0.055046119963306175,544.5345934379458,1251.5941118524715,0.5,0.0
CICIoT2023_R1,CB-Score,0.6,method_specific,10,0.9198110293214441,0.004741029906452618,0.9874832627011537,0.0011464836119984216,0.9588831833396657,0.0037776384852264877,0.046308844507845934,0.00279305899646331,0.9824119506684292,0.0010028780635694661,0.8647463892325349,0.008424942484436124,463.08844507845936,27.9305899646331,0.31,0.23190036174568116
CICIoT2023_R1,CB-Score,0.6,shared_full_threshold,10,0.8955799787928883,0.01720762661080753,0.9874832627011537,0.0011464836119984216,0.9588831833396657,0.0037776384852264877,0.027090763195435092,0.054739484907194165,0.99018356841883,0.01890874979766329,0.8189846626224084,0.04103842555893089,270.90763195435096,547.3948490719417,0.53,0.09213516640723501
CICIoT2023_R1,CB-Score,0.8,fixed_0.5,10,0.8934773255294228,0.009743265594755081,0.9875307618807017,0.0013008388558657029,0.9591335476435534,0.004230175057469342,0.008010877318116975,0.005944783055187672,0.9967512243935756,0.0023596071487133594,0.8097792550416598,0.017413373489020178,80.10877318116975,59.44783055187672,0.5,0.0
CICIoT2023_R1,CB-Score,0.8,method_specific,10,0.9198673202616647,0.008937159817243915,0.9875307618807017,0.0013008388558657029,0.9591335476435534,0.004230175057469342,0.04464158345221113,0.014114910911119985,0.9831460646451082,0.005223080985200699,0.8645079071708575,0.01895271003100038,446.41583452211125,141.14910911119986,0.298,0.11193251935380034
CICIoT2023_R1,CB-Score,0.8,shared_full_threshold,10,0.8944133534336536,0.01600795222091558,0.9875307618807017,0.0013008388558657029,0.9591335476435534,0.004230175057469342,0.014448109843081314,0.023612746544787656,0.9944599047523381,0.008733395025647345,0.813411634943584,0.03247280432360882,144.48109843081312,236.12746544787655,0.53,0.09213516640723501
CICIoT2023_R1,CB-Score,1.0,fixed_0.5,10,0.90084353027397,0.012279913941824299,0.9878497772975491,0.0010219483342699756,0.9602287402589614,0.0034061008797746316,0.041931169757489305,0.09711228072203378,0.9858057799680408,0.030708812580002767,0.8316420980459376,0.04334224500758735,419.311697574893,971.1228072203378,0.5,0.0
CICIoT2023_R1,CB-Score,1.0,method_specific,10,0.923100627462933,0.005844564570084961,0.9878497772975491,0.0010219483342699756,0.9602287402589614,0.0034061008797746316,0.04839069186875892,0.0035368172710184887,0.9817757474764193,0.001133413252907441,0.8711108792535511,0.011058288778260992,483.90691868758915,35.36817271018489,0.376,0.13615350813613938
CICIoT2023_R1,CB-Score,1.0,shared_full_threshold,10,0.9009636047246358,0.016330708432163735,0.9878497772975491,0.0010219483342699756,0.9602287402589614,0.0034061008797746316,0.026881241084165477,0.03576505026426716,0.9898849764864555,0.013072906379416887,0.8277488783890536,0.03598535796180432,268.81241084165475,357.65050264267165,0.53,0.09213516640723501
