dataset_protocol,endpoint,rows,zero_target_rows,zero_target_fraction,mean_target_value,valid_for_claims
CICIDS2017_COVERAGE_R1,F1,1080,648,0.6,0.0004693600038353865,LIMITED
CICIDS2017_COVERAGE_R1,PR_AUC,1080,0,0.0,0.03080964537583633,YES
CICIoT2023_R1,F1,1080,0,0.0,0.8775729270946523,YES
CICIoT2023_R1,PR_AUC,1080,0,0.0,0.919104659665549,YES
