dataset_protocol,selection,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,test_F1_sd,test_PR_AUC_mean,test_PR_AUC_sd,test_FPR_mean,test_FPR_sd,mean_malicious_selection_rate_mean,mean_malicious_selection_rate_sd,mean_malicious_budget_fraction_mean,mean_malicious_budget_fraction_sd,malicious_reported_utility_mean_mean,malicious_reported_utility_mean_sd,malicious_actual_utility_mean_mean,malicious_actual_utility_mean_sd,benign_reported_utility_mean_mean,benign_reported_utility_mean_sd,malicious_update_norm_mean_mean,malicious_update_norm_mean_sd,benign_update_norm_mean_mean,benign_update_norm_mean_sd,malicious_cosine_to_benign_mean_mean,malicious_cosine_to_benign_mean_sd,clean_F1_mean,clean_F1_sd,clean_PR_AUC_mean,clean_PR_AUC_sd,clean_FPR_mean,clean_FPR_sd,attack_success_F1_drop_mean,attack_success_F1_drop_sd,attack_success_PR_AUC_drop_mean,attack_success_PR_AUC_drop_sd,attack_success_FPR_increase_mean,attack_success_FPR_increase_sd,honest_F1_mean,honest_F1_sd,honest_PR_AUC_mean,honest_PR_AUC_sd,honest_FPR_mean,honest_FPR_sd,honest_malicious_selection_rate_mean,honest_malicious_selection_rate_sd,honest_malicious_budget_fraction_mean,honest_malicious_budget_fraction_sd,forged_minus_honest_F1_mean,forged_minus_honest_F1_sd,forged_minus_honest_PR_AUC_mean,forged_minus_honest_PR_AUC_sd,forged_minus_honest_FPR_mean,forged_minus_honest_FPR_sd,forged_minus_honest_malicious_selection_rate_mean,forged_minus_honest_malicious_selection_rate_sd,forged_minus_honest_malicious_budget_fraction_mean,forged_minus_honest_malicious_budget_fraction_sd
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,forged_inflated,10,0.05549934507834405,0.15085370402030907,0.22345529375546003,0.0944607162285103,0.005261160996585305,0.007182559699245326,0.8180555555555555,0.08602893330883013,0.8188060854080037,0.08563186392475035,1.0627888389042583,0.05591776117841808,0.06278883890425833,0.05591776117841805,0.09345505426016364,0.05753866561111347,0.9995315486808314,0.09309025375141555,1.045884063606009,0.07272183157664915,0.546360438257042,0.11406762315546212,0.05549934507834405,0.15085370402030907,0.22345529375546003,0.0944607162285103,0.005261160996585305,0.007182559699245326,0.0,0.0,0.0,0.0,0.0,0.0,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0,0.0,0.0,0.0,0.04865520908307946,0.15236485004078792,0.041436363465702626,0.0966275992577586,0.00019243981555857153,0.01064840610084742,0.8180555555555555,0.08602893330883013,0.8188060854080037,0.08563186392475035
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,10,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.061477034823146884,0.0344107318757637,nan,nan,1.0999835851368964,0.08727112356893739,nan,nan,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0,0.0,0.0,0.0,0.0,0.0,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,forged_inflated,10,0.042245512572601264,0.11394870821451814,0.2362545607056352,0.15017960844804232,0.017871608803694296,0.014345286983745547,0.7447222222222222,0.08630950860548428,0.7438916420775489,0.08556230894407849,0.8777462102366628,0.11126799491386721,-0.12225378976333715,0.11126799491386725,0.23597164006610946,0.06273947064800868,0.9753577518486822,0.260142846635768,1.3924115302931226,0.08856651414548998,-0.13598165891763833,0.09654346522695215,0.05549934507834405,0.15085370402030907,0.22345529375546003,0.0944607162285103,0.005261160996585305,0.007182559699245326,0.01325383250574279,0.038353104865348375,-0.012799266950175183,0.09919195433320027,0.012610447807108993,0.013714016069610754,0.003089269969331633,0.001026936034849449,0.1877198503606768,0.026869443682939975,0.007250845128674899,0.012848184007978833,0.049166666666666664,0.03479436948915942,0.04897909088493677,0.03458156747495523,0.03915624260326963,0.11420089521130505,0.04853471034495842,0.16149485622138182,0.010620763675019398,0.017992497075975954,0.6955555555555555,0.08744192664265482,0.6949125511926122,0.08691943761454468
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,10,0.003089269969331633,0.001026936034849449,0.1877198503606768,0.026869443682939975,0.007250845128674899,0.012848184007978833,0.049166666666666664,0.03479436948915942,0.04897909088493677,0.03458156747495523,-0.4254823516449138,0.144538803877457,-0.4254823516449138,0.144538803877457,0.07984809534131668,0.056129932988126206,1.7876254836330545,0.07409062400625095,1.0742480359093047,0.10223629497240688,0.002498520691232343,0.25774288128688383,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0037548660259329614,0.005956975541148488,-0.005700920070919391,0.030863013063920253,0.002182123947648167,0.01137944298037951,0.003089269969331633,0.001026936034849449,0.1877198503606768,0.026869443682939975,0.007250845128674899,0.012848184007978833,0.049166666666666664,0.03479436948915942,0.04897909088493677,0.03458156747495523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,10,0.30437145162349144,0.16041784031033127,0.23492184700999763,0.0,0.8,0.4216370213557839,0.9966666666666667,0.00749942841900616,0.996699143705571,0.007429354859290381,1.020191319321465,0.010730094620458226,0.020191319321464937,0.010730094620458257,0.02082334759633969,0.010328504389749511,12.324182095693605,0.786968720688696,2.3819479579140506,0.18145064479562817,-0.9782915180259281,0.01904108675085168,0.05549934507834405,0.15085370402030907,0.22345529375546003,0.0944607162285103,0.005261160996585305,0.007182559699245326,-0.2488721065451474,0.2836933831848036,-0.011466553254537614,0.0944607162285103,0.7947388390034147,0.42549130403104135,0.1624341229579105,0.20682937656558462,0.22929949028839808,0.0511212450766841,0.37928964755827027,0.46775997831418703,0.10277777777777777,0.08490291397294555,0.10378897083394269,0.08581940854609221,0.14193732866558095,0.20325770582573913,0.005622356721599558,0.0511212450766841,0.4207103524417297,0.48758620376077,0.8938888888888888,0.08294973439507805,0.8929101728716283,0.08387886501978789
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,10,0.1624341229579105,0.20682937656558462,0.22929949028839808,0.0511212450766841,0.37928964755827027,0.46775997831418703,0.10277777777777777,0.08490291397294555,0.10378897083394269,0.08581940854609221,0.08955093234866521,0.0846283500308783,0.08955093234866521,0.0846283500308783,0.09248712604124337,0.0766864550982427,8.600529280447173,2.6733108200664164,1.623460543953107,0.42641213594369914,-0.8251000110308329,0.15729865901553233,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,-0.1555899869626459,0.2080170211257377,-0.047280559998640684,0.058853148637896154,0.3742209263772436,0.4683173062053984,0.1624341229579105,0.20682937656558462,0.22929949028839808,0.0511212450766841,0.37928964755827027,0.46775997831418703,0.10277777777777777,0.08490291397294555,0.10378897083394269,0.08581940854609221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,10,0.005688644263502409,0.0066656670207323925,0.1827240875565809,0.018324340389519425,0.0022381810164787273,0.0026909788429364256,0.8194444444444444,0.0881625416197603,0.8202034843436535,0.0876720909869073,1.064063406602538,0.06278938014100222,0.06406340660253801,0.06278938014100229,0.0928875765872445,0.05821439634697061,1.0000791714004884,0.0994033973148686,1.0487073407596201,0.07077001279399328,0.5473250275726119,0.11644088293645624,0.005688644263502409,0.0066656670207323925,0.1827240875565809,0.018324340389519425,0.0022381810164787273,0.0026909788429364256,0.0,0.0,0.0,0.0,0.0,0.0,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,0.0,0.0,0.0,0.0,0.0006947272032029752,0.008618794463013895,0.0008485777451660515,0.016323003678697826,-0.005949569146736214,0.010689225652249834,0.8194444444444444,0.0881625416197603,0.8202034843436535,0.0876720909869073
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,10,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.061756768639026516,0.028852835278675434,nan,nan,1.0891346263377206,0.07165802364976745,nan,nan,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,0.0,0.0,0.0,0.0,0.0,0.0,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.007917776848635927,0.016255538064524504,0.17361630376093096,0.02258300484247074,0.022894869069145028,0.01129337314612745,0.7575000000000001,0.07652261023085406,0.7564915888148085,0.07597203689511633,0.8982252981558725,0.12047860758654877,-0.10177470184412747,0.12047860758654874,0.24251990914771704,0.10803293036140713,0.9248926539875818,0.25811214371631913,1.3913865533014285,0.0912363919323782,-0.1359676652882869,0.11165907287790075,0.005688644263502409,0.0066656670207323925,0.1827240875565809,0.018324340389519425,0.0022381810164787273,0.0026909788429364256,-0.002229132585133518,0.01880395095336763,0.009107783795649933,0.03656928891514373,0.020656688052666298,0.011798156825824033,0.005267699688953862,0.005380012413757238,0.18703675035624803,0.0255173121387409,0.0011580570073045095,0.0012417399506988894,0.056388888888888884,0.04932761200279708,0.05622264581932584,0.04927758999162851,0.0026500771596820647,0.014704628135696996,-0.013420446595317066,0.039082890753311054,0.021736812061840517,0.011607701384132823,0.7011111111111111,0.11335844553543971,0.7002689429954827,0.11313669404886911
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,10,0.005267699688953862,0.005380012413757238,0.18703675035624803,0.0255173121387409,0.0011580570073045095,0.0012417399506988894,0.056388888888888884,0.04932761200279708,0.05622264581932584,0.04927758999162851,-0.41678971797927844,0.1531078485719195,-0.41678971797927844,0.1531078485719195,0.07691741858315129,0.05322927637155766,1.788598858472384,0.07645792063994654,1.0664372683722658,0.09829426821883189,0.012576865395345112,0.26988870389925773,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,-0.0002737826286544285,0.009189714987482058,-0.005161240544833185,0.014318086234776758,-0.007029693155910431,0.009466023378421524,0.005267699688953862,0.005380012413757238,0.18703675035624803,0.0255173121387409,0.0011580570073045095,0.0012417399506988894,0.056388888888888884,0.04932761200279708,0.05622264581932584,0.04927758999162851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
