dataset_protocol,metadata_view,attacker,target,client_id,n_observations,positive_rate,mean_oriented_oof_score,median_oriented_oof_score,client_group_auc
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,8,300,0.7,0.5053102219133954,0.5070095746096898,0.4748677248677249
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,9,300,0.8,0.5080194317172904,0.519363049099562,0.5004166666666666
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,0,300,0.6,0.5275357312890534,0.5829755745640096,0.6006944444444444
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,1,300,0.6,0.5328190129548646,0.5509884304675048,0.6297453703703705
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,2,300,0.5,0.4863000270925344,0.4702660192477877,0.8759111111111111
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,3,300,0.4,0.4706134718195393,0.4759425962581439,0.7137037037037037
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,4,300,0.3,0.4877063586315307,0.4755502947146118,0.7584920634920634
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,5,300,0.5,0.47913670545937387,0.4763556746094626,0.7809111111111111
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,6,300,0.6,0.5147090867170095,0.5022072349749149,0.5148842592592593
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,7,300,0.7,0.5423426777670569,0.6308828028431476,0.4252910052910053
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,8,300,0.5,0.5124780658654416,0.5069381012249387,0.6815555555555556
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,9,300,0.3,0.4575908342675801,0.467139952488888,0.6598941798941799
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,0,300,0.4,0.5048934444337032,0.4913780447355331,0.3389351851851852
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,1,300,0.7,0.49650857813874305,0.4959688410228569,0.49629629629629635
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,2,300,0.6,0.49794654151160445,0.5026223787023765,0.37041666666666667
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,3,300,0.2,0.5007000420191247,0.4972093412185596,0.5409375000000001
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,4,300,0.6,0.500820324262488,0.4987851217989478,0.5516666666666667
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,5,300,0.3,0.503076634962743,0.5091527995046966,0.5417460317460318
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,6,300,0.4,0.4967180164610214,0.4961758377784109,0.5003935185185185
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,7,300,0.3,0.5163093788685598,0.5316232891407544,0.5263756613756614
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,8,300,0.7,0.5024217342196312,0.50044554040694,0.47185185185185186
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,9,300,0.8,0.49311372787747626,0.5032952285607375,0.45958333333333334
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,0,300,0.6,0.4911607154869269,0.522757840932033,0.473287037037037
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,1,300,0.6,0.51218654989856,0.5167692967587763,0.6837962962962963
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,2,300,0.5,0.5032959405019687,0.5041561396676112,0.5012
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,3,300,0.4,0.497683063593426,0.5011204767616337,0.6046296296296296
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,4,300,0.3,0.49842884256033454,0.5042181273880217,0.608994708994709
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,5,300,0.5,0.49725067058760564,0.5003188357145492,0.5168
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,6,300,0.6,0.5100297396760906,0.5109627848760747,0.4769444444444444
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,7,300,0.7,0.5136203043898776,0.516289873102133,0.41179894179894183
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,8,300,0.5,0.4889486994725889,0.5139188947902773,0.5019111111111111
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,9,300,0.3,0.49662979003201824,0.5039960805643444,0.622010582010582
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,0,300,0.4,0.5099998256519824,0.4834941261662776,0.3796296296296296
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,1,300,0.7,0.49929185192859543,0.4993167724030355,0.5340211640211641
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,2,300,0.6,0.4907191547692226,0.48959416678855483,0.5321296296296296
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,3,300,0.2,0.5089433548060812,0.48997542150194634,0.4002083333333333
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,4,300,0.6,0.5004752405675819,0.500118458636455,0.5833333333333334
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,5,300,0.3,0.5008256378284817,0.49935158828345305,0.6851322751322751
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,6,300,0.4,0.4919115642076618,0.4915561381251159,0.5398611111111111
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,7,300,0.3,0.4945264541996526,0.49440930748038586,0.42825396825396833
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,8,300,0.7,0.4999998092887974,0.5002249715156588,0.4422222222222223
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,9,300,0.8,0.502437824670056,0.4990575310215821,0.4599305555555555
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,0,300,0.6,0.48232332523849475,0.5007681843917793,0.4303703703703703
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,1,300,0.6,0.4954434089748876,0.5061658067891208,0.6597222222222223
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,2,300,0.5,0.5038452264182928,0.5076469934767858,0.5693333333333332
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,3,300,0.4,0.5000456837998623,0.5103912652702811,0.5802777777777778
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,4,300,0.3,0.5102689708690711,0.5264387637812609,0.653968253968254
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,5,300,0.5,0.48929272959643205,0.4920469358809475,0.599777777777778
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,6,300,0.6,0.4997733902157924,0.5073331556618923,0.5323611111111111
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,7,300,0.7,0.4930233890338752,0.49778693635835247,0.47830687830687824
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,8,300,0.5,0.484964080859951,0.5161877966583435,0.5016
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,9,300,0.3,0.5087499236605055,0.5203753262136137,0.6072486772486773
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,0,300,0.4,0.5217745611821399,0.5048324031614038,0.39629629629629637
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,1,300,0.7,0.5037260863954769,0.5036207744027213,0.49333333333333335
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,2,300,0.6,0.5045145445151462,0.49928300186631386,0.5368055555555555
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,3,300,0.2,0.5083675269924536,0.5018143070236203,0.5491666666666666
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,4,300,0.6,0.5132168169520334,0.5111982777134585,0.5938425925925925
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,5,300,0.3,0.5056822207918951,0.5028493893975663,0.6035449735449735
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,6,300,0.4,0.5036341524716113,0.5030365353430097,0.5148148148148148
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,7,300,0.3,0.5099606203866633,0.5086845627389918,0.4234920634920635
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,8,300,0.7,0.5001676718771776,0.4979908688086917,0.5530158730158731
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,9,300,0.8,0.5149180837336848,0.5116515812273653,0.495
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,0,300,0.6,0.5020545190788855,0.5257179380540463,0.4367592592592593
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,1,300,0.6,0.5169915371515643,0.5321743625090795,0.6096296296296297
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,2,300,0.5,0.49795218799347246,0.511149654057552,0.6306666666666665
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,3,300,0.4,0.490782420241855,0.521797115332737,0.6249074074074075
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,4,300,0.3,0.49750052416905455,0.5162406766426674,0.631904761904762
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,5,300,0.5,0.49373136596408407,0.5113009311388077,0.6353777777777778
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,6,300,0.6,0.5129625092041448,0.5251785195296398,0.5675925925925925
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,7,300,0.7,0.5191976564647534,0.5272173992067645,0.48650793650793656
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,8,300,0.5,0.48917833343875194,0.5291391126706739,0.4673333333333334
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,9,300,0.3,0.4948868662466656,0.5201763859669993,0.5974603174603175
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,0,300,0.4,0.5104376304403615,0.4829175669715958,0.4276388888888889
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,1,300,0.7,0.49252478732303523,0.4899631834355238,0.4637566137566137
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,2,300,0.6,0.49393369242573176,0.491901082954016,0.5210185185185185
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,3,300,0.2,0.5077940992623536,0.4954338980932319,0.48756944444444444
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,4,300,0.6,0.5004570811020849,0.49629887239060744,0.5459722222222222
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,5,300,0.3,0.4999097100888835,0.5015643717074592,0.4775661375661376
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,6,300,0.4,0.4944838870782284,0.49218663391512907,0.5196296296296297
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,7,300,0.3,0.4992738347659546,0.500435644176489,0.6100529100529102
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,8,300,0.7,0.5018553831995757,0.4936430848957515,0.5471428571428572
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,9,300,0.8,0.4968325485493245,0.49924134436751316,0.45916666666666667
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,0,300,0.6,0.5030623626127046,0.5220359386674182,0.45625
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,1,300,0.6,0.5225894812114911,0.5228629469517458,0.5493518518518519
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,2,300,0.5,0.49954926751449,0.5051039290460391,0.8558666666666668
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,3,300,0.4,0.49483050925563304,0.5040303066999356,0.6896296296296296
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,4,300,0.3,0.5026451356842023,0.50819589128704,0.7287830687830688
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,5,300,0.5,0.48704112412199274,0.49909296956305244,0.7473333333333334
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,6,300,0.6,0.5227563420452037,0.5163349764399967,0.4619444444444445
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,7,300,0.7,0.5164312485439633,0.5168794388794256,0.39867724867724874
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,8,300,0.5,0.4822914980356461,0.5123133207479857,0.5265333333333333
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,9,300,0.3,0.49022923937367446,0.49883752248906255,0.612063492063492
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,0,300,0.4,0.5034276145934744,0.4856154679558375,0.3411111111111111
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,1,300,0.7,0.4918806940139987,0.4936098019756941,0.518888888888889
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,2,300,0.6,0.4971495116788197,0.4971817404748464,0.6355555555555555
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,3,300,0.2,0.5014944771833564,0.49856178926905736,0.6318055555555556
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,4,300,0.6,0.5009165205513695,0.49849460828474446,0.45773148148148146
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,5,300,0.3,0.5030551955121446,0.49984190882679813,0.567936507936508
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,6,300,0.4,0.49345720491674255,0.4945756994945477,0.4785185185185185
