method,beta,attack_prevalence,n_seeds,mean_TPR,mean_FPR,pooled_rate_PPV,pooled_rate_NPV,false_alerts_per_million_benign,aggregation_rule
CB-FedSelect,0.2,0.001,10,0.8644050617817591,0.046366797432239606,0.018319552225213,0.9998576901971146,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.005,10,0.8644050617817591,0.046366797432239606,0.08565761484462867,0.9992859989668066,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.01,10,0.8644050617817591,0.046366797432239606,0.15846924819607455,0.9985658201513524,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.05,10,0.8644050617817591,0.046366797432239606,0.49525486015907827,0.9925720231244203,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.1,10,0.8644050617817591,0.046366797432239606,0.6744174567469082,0.9844470785304686,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.25,10,0.8644050617817591,0.046366797432239606,0.8613855144171038,0.954748811940006,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.5,10,0.8644050617817591,0.046366797432239606,0.9490906564984842,0.8755128212897677,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.2,0.75,10,0.8644050617817591,0.046366797432239606,0.9824340377625059,0.7009854254317796,46366.797432239604,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.001,10,0.85609098090653,0.041280313837375134,0.020337057818088797,0.9998497668998511,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.005,10,0.85609098090653,0.041280313837375134,0.09437800969048019,0.9992462699553379,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.01,10,0.85609098090653,0.041280313837375134,0.17319812611993474,0.9984860790896948,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.05,10,0.85609098090653,0.041280313837375134,0.5218740175377093,0.992161640128042,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.1,10,0.85609098090653,0.041280313837375134,0.6973618063847564,0.9835952253010977,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.25,10,0.85609098090653,0.041280313837375134,0.8736229133076278,0.9523490810814037,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.5,10,0.85609098090653,0.041280313837375134,0.9539986245613574,0.8694855136570693,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
CB-FedSelect,0.4,0.75,10,0.85609098090653,0.041280313837375134,0.9841810801394257,0.6895047873524706,41280.313837375135,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.001,10,0.8684547852916188,0.047097895863052706,0.018123295656914222,0.999861833972498,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.005,10,0.8684547852916188,0.047097895863052706,0.08480228565343645,0.9993067777002137,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.01,10,0.8684547852916188,0.047097895863052706,0.15701171341270578,0.9986075281979092,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.05,10,0.8684547852916188,0.047097895863052706,0.4925126143085151,0.9927867804201261,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.1,10,0.8684547852916188,0.047097895863052706,0.6720039427799792,0.9848931685451993,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.25,10,0.8684547852916188,0.047097895863052706,0.8600704122027022,0.9560086455887172,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.5,10,0.8684547852916188,0.047097895863052706,0.948557961947472,0.878698381726422,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
Full-Contextual,,0.75,10,0.8684547852916188,0.047097895863052706,0.9822437073959511,0.7071431619380592,47097.895863052705,PPV/NPV computed after paired-seed TPR/FPR aggregation
