dataset_protocol,metadata_view,attacker,target,n_client_groups,group_auc_min,group_auc_q1,group_auc_median,group_auc_q3,group_auc_max,group_auc_mean
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,10,0.3482539682539682,0.4881076388888889,0.6188930555555555,0.713881746031746,0.8602888888888888,0.6063753306878307
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,10,0.2984126984126984,0.40566716269841263,0.4834441137566138,0.5373983134920635,0.6923842592592593,0.4743632605820106
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,10,0.370952380952381,0.5145763888888888,0.667868716931217,0.7314694444444445,0.8820000000000001,0.6347225132275132
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,10,0.3423148148148148,0.45311507936507933,0.4791178902116402,0.5061755952380953,0.556712962962963,0.4635375330687831
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,10,0.4252910052910053,0.6079571759259259,0.6707248677248677,0.7472949735449735,0.8759111111111111,0.6641082804232804
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,10,0.3389351851851852,0.46265046296296297,0.49834490740740744,0.5372970403439155,0.5516666666666667,0.47982027116402115
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,10,0.41179894179894183,0.48300833333333326,0.5093555555555556,0.6079034391534391,0.6837962962962963,0.540137275132275
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,10,0.3796296296296296,0.4317460317460318,0.49603009259259256,0.5384011243386244,0.6851322751322751,0.49847222222222226
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,10,0.4303703703703703,0.5092902777777778,0.5748055555555556,0.6053809523809525,0.6597222222222223,0.5612966402116403
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,10,0.39629629629629637,0.49375,0.5258101851851852,0.5520535714285715,0.6035449735449735,0.5159312169312169
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,10,0.4367592592592593,0.5067791005291006,0.6035449735449736,0.6292268518518518,0.6353777777777778,0.5688139682539683
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,10,0.4276388888888889,0.4672089947089947,0.5035995370370371,0.5397337962962963,0.6100529100529102,0.5059513888888889
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,10,0.39867724867724874,0.4780916666666667,0.5807076719576719,0.718994708994709,0.8558666666666668,0.6026433068783069
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,10,0.3411111111111111,0.46292824074074074,0.5185714285714287,0.5841666666666667,0.6355555555555555,0.5127364417989418
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,10,0.45576719576719577,0.5131712962962963,0.5935119047619047,0.778166335978836,0.8872,0.6411247354497355
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,10,0.382037037037037,0.4329513888888889,0.47060515873015873,0.5054497354497354,0.5516931216931217,0.4691322751322751
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,10,0.49269841269841264,0.5554180555555555,0.5985019841269841,0.7756117724867725,0.8478222222222223,0.6517952645502645
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,10,0.3824338624338624,0.42270833333333335,0.46186507936507937,0.49134920634920637,0.6298611111111111,0.4736342592592592
CICIDS2017_COVERAGE_R1,Raw,LogisticRegression,attack_ratio_above_seed_median,10,0.4050793650793651,0.5016087962962963,0.6004666666666667,0.7303339947089947,0.9216,0.6237631481481481
CICIDS2017_COVERAGE_R1,Raw,LogisticRegression,client_size_above_seed_median,10,0.31310185185185185,0.40360532407407407,0.5211772486772486,0.5662566137566138,0.8556944444444444,0.5232417328042328
CICIDS2017_COVERAGE_R1,Raw,MLP,attack_ratio_above_seed_median,10,0.5151111111111111,0.5452546296296297,0.5907440476190476,0.8492989417989418,0.9467111111111112,0.6789695502645503
CICIDS2017_COVERAGE_R1,Raw,MLP,client_size_above_seed_median,10,0.2653439153439153,0.3777604166666667,0.4356944444444444,0.5683035714285714,0.7459027777777778,0.4701362433862434
CICIDS2017_COVERAGE_R1,Raw,RandomForest,attack_ratio_above_seed_median,10,0.48804232804232806,0.5887837962962963,0.6765244708994709,0.797951388888889,0.9395111111111111,0.6987536772486772
CICIDS2017_COVERAGE_R1,Raw,RandomForest,client_size_above_seed_median,10,0.35451388888888885,0.37931712962962966,0.4551488095238095,0.50796875,0.6456613756613756,0.4617533068783069
CICIoT2023_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,10,0.5259953703703704,0.5820777777777778,0.7168518518518519,0.7898583333333333,0.9050925925925927,0.6973217857142857
CICIoT2023_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,10,0.3772222222222222,0.5398451388888889,0.6917398148148148,0.7712863756613757,0.8307407407407408,0.6530716931216931
CICIoT2023_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,10,0.5256444444444444,0.5655395833333333,0.7087830687830687,0.7748875,0.9051388888888889,0.6878252248677248
CICIoT2023_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,10,0.0913227513227513,0.505892361111111,0.6192013888888889,0.6957109788359788,0.775787037037037,0.5621387037037037
CICIoT2023_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,10,0.3592444444444444,0.5964103174603175,0.7219195767195767,0.7717328042328042,0.9080555555555555,0.6684257275132275
CICIoT2023_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,10,0.4156481481481482,0.5552835648148149,0.6152083333333334,0.7293601851851853,0.9364021164021163,0.6409467857142858
CICIoT2023_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,10,0.47513227513227513,0.6299050925925926,0.7135619047619047,0.7450496031746032,0.869688888888889,0.6920140740740741
CICIoT2023_R1,No-Size,LogisticRegression,client_size_above_seed_median,10,0.41606481481481483,0.5768407407407408,0.6739914021164021,0.7507680555555556,0.8284126984126985,0.6501628835978835
CICIoT2023_R1,No-Size,MLP,attack_ratio_above_seed_median,10,0.4611111111111111,0.6203648148148149,0.704404761904762,0.7463126984126985,0.8547111111111111,0.6776793121693122
CICIoT2023_R1,No-Size,MLP,client_size_above_seed_median,10,0.39518518518518514,0.5595143518518518,0.6470337301587301,0.7299013888888889,0.8248677248677249,0.6333788888888889
CICIoT2023_R1,No-Size,RandomForest,attack_ratio_above_seed_median,10,0.4784126984126984,0.599321164021164,0.6742916666666666,0.7305621693121693,0.8066222222222224,0.6573985185185185
CICIoT2023_R1,No-Size,RandomForest,client_size_above_seed_median,10,0.4552777777777778,0.5444930555555556,0.6024966931216931,0.7108675925925926,0.837989417989418,0.6246247619047619
CICIoT2023_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,10,0.5214666666666667,0.6250249999999999,0.7354530423280424,0.7614632936507936,0.8956,0.712398544973545
CICIoT2023_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,10,0.26935185185185184,0.5057175925925926,0.558536507936508,0.7467337962962963,0.7939351851851852,0.5917715873015873
CICIoT2023_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,10,0.5412444444444444,0.6231833333333333,0.6976355820105821,0.8048164682539682,0.9264444444444444,0.7194483068783069
CICIoT2023_R1,Noisy-Quantized,MLP,client_size_above_seed_median,10,0.4834259259259259,0.5069347222222222,0.5639120370370371,0.6261871693121693,0.8092063492063493,0.592038492063492
CICIoT2023_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,10,0.47648148148148145,0.6284259259259258,0.6871101851851852,0.784774537037037,0.8754629629629629,0.6936490476190477
CICIoT2023_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,10,0.324212962962963,0.4270125,0.5070634920634921,0.5720949074074074,0.6906222222222222,0.5025299206349206
CICIoT2023_R1,Raw,LogisticRegression,attack_ratio_above_seed_median,10,0.5530222222222222,0.6700791666666667,0.7505324074074073,0.7682402777777778,0.891712962962963,0.718366455026455
CICIoT2023_R1,Raw,LogisticRegression,client_size_above_seed_median,10,0.30967592592592597,0.49542777777777774,0.605350529100529,0.7749931216931217,0.8737499999999999,0.6264140211640211
CICIoT2023_R1,Raw,MLP,attack_ratio_above_seed_median,10,0.5285333333333333,0.6593584656084656,0.7503075396825397,0.8510896164021164,0.9452314814814815,0.7542548412698412
CICIoT2023_R1,Raw,MLP,client_size_above_seed_median,10,0.3985185185185185,0.5460995370370371,0.6282804232804233,0.6824148148148148,0.8161111111111111,0.6247758465608466
CICIoT2023_R1,Raw,RandomForest,attack_ratio_above_seed_median,10,0.5713777777777778,0.6498132275132276,0.7756812169312169,0.8388063492063492,0.9430555555555556,0.7558803439153439
CICIoT2023_R1,Raw,RandomForest,client_size_above_seed_median,10,0.34587962962962965,0.518137037037037,0.655760582010582,0.7324708333333334,0.8390277777777778,0.6268129100529101
