cell_id,dataset_protocol,selection,aggregation,model_attack,reported_utility,beta,seed,rounds,role,expected,test_F1,test_PR_AUC,test_FPR,mean_malicious_selection_rate,mean_malicious_budget_fraction,malicious_reported_utility_mean,malicious_actual_utility_mean,benign_reported_utility_mean,malicious_update_norm_mean,benign_update_norm_mean,malicious_cosine_to_benign_mean,clean_F1,clean_PR_AUC,clean_FPR,attack_success_F1_drop,attack_success_PR_AUC_drop,attack_success_FPR_increase,honest_F1,honest_PR_AUC,honest_FPR,honest_malicious_selection_rate,honest_malicious_budget_fraction,forged_minus_honest_F1,forged_minus_honest_PR_AUC,forged_minus_honest_FPR,forged_minus_honest_malicious_selection_rate,forged_minus_honest_malicious_budget_fraction
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,42,30,core_12_cell_factorial,1,0.002458335640329993,0.22545006260751735,0.0012373572510160345,0.05,0.05024892089407985,-0.1864896202279208,-0.1864896202279208,0.12564991033828735,1.6674656324525698,1.2088314836752772,0.30183603662169645,0.00224481858087459,0.19836394098322432,0.00017774192556031432,-0.00021351705945540271,-0.027086121624293025,0.0010596153254557202,0.002458335640329993,0.22545006260751735,0.0012373572510160345,0.05,0.05024892089407985,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,123,30,core_12_cell_factorial,1,0.0025985563575791227,0.1805006799237822,0.00034522950926137977,0.03333333333333333,0.03327698338744387,-0.597399755064404,-0.597399755064404,0.02853713710206849,1.7193722048964029,0.9680171043785611,0.06656880233333341,0.003148454042548474,0.17246531144325397,0.0007827480952559997,0.0005498976849693514,-0.008035368480528216,-0.00043751858599461993,0.0025985563575791227,0.1805006799237822,0.00034522950926137977,0.03333333333333333,0.03327698338744387,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,777,30,core_12_cell_factorial,1,0.0026756403527728894,0.16605262389295097,0.024648019715681282,0.016666666666666666,0.016572899116281677,-0.6230953046628079,-0.6230953046628079,0.042078829057599805,1.8162972700513187,1.041614620770265,0.15428008093602127,0.002542211300129229,0.18179491818166962,0.015224279547031538,-0.00013342905264366028,0.01574229428871865,0.009423740168649743,0.0026756403527728894,0.16605262389295097,0.024648019715681282,0.016666666666666666,0.016572899116281677,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2026,30,core_12_cell_factorial,1,0.00243864588644778,0.17019090578100804,0.0009297269952385673,0.025,0.024893968008929224,-0.36402557906134536,-0.36402557906134536,0.15700862205312077,1.8380035319319408,1.2946655947812313,0.45806003332965906,0.009169705041154509,0.17508301632825168,0.004628126292474339,0.006731059154706729,0.004892110547243644,-0.0036983992972357714,0.00243864588644778,0.17019090578100804,0.0009297269952385673,0.025,0.024893968008929224,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,3407,30,core_12_cell_factorial,1,0.002443005785481883,0.16882948186368293,0.0003794106487922094,0.075,0.07466419597985018,-0.24470010891456973,-0.24470010891456973,0.047349513224372905,1.8112716704586767,0.9905090268950256,0.00710481271251206,0.0025789813023855577,0.1732200401041768,3.418113953082968e-05,0.0001359755169036748,0.004390558240493864,0.0003452295092613797,0.002443005785481883,0.16882948186368293,0.0003794106487922094,0.075,0.07466419597985018,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,11,30,core_12_cell_factorial,1,0.005558973457549657,0.24456776870784117,0.003209609001944907,0.075,0.07465878237369641,-0.4282868306149792,-0.4282868306149792,0.1134101730863549,1.806299806963691,1.0689332944541898,-0.25542877005516657,0.0024443358072974535,0.16806952693725868,0.00021192306509114402,-0.0031146376502522036,-0.07649824177058248,0.002997685936853763,0.005558973457549657,0.24456776870784117,0.003209609001944907,0.075,0.07465878237369641,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,314,30,core_12_cell_factorial,1,0.0023009481493236005,0.16517488837737418,0.03718907980954269,0.0,0.0,-0.5080261694582884,-0.5080261694582884,0.04046293737756411,1.719753539771155,1.036525601978541,0.06331594332328272,0.013441005907538887,0.17252084075599772,0.006162859457408591,0.011140057758215286,0.007345952378623538,0.0310262203521341,0.0023009481493236005,0.16517488837737418,0.03718907980954269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2718,30,core_12_cell_factorial,1,0.004144687264506406,0.18160256892932303,0.0007417307278190041,0.08333333333333333,0.08302011508992248,-0.5450150737796106,-0.5450150737796106,0.040989781423910375,1.7497548204968085,1.0306009807396566,-0.26134969022047394,0.0030106879421947915,0.16581503748529758,0.010356885277841392,-0.0011339993223116141,-0.01578753144402545,-0.009615154550022388,0.004144687264506406,0.18160256892932303,0.0007417307278190041,0.08333333333333333,0.08302011508992248,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,9001,30,core_12_cell_factorial,1,0.0031604305257807146,0.17996927144188637,0.0017740011416500603,0.10833333333333334,0.10753496455442009,-0.3649390509029925,-0.3649390509029925,0.17243064495157207,1.9243759489906533,1.093879034883953,-0.2814881575293839,0.014116885219362149,0.17741599259285928,0.007413889164236957,0.010956454693581434,-0.002553278849027091,-0.005639888022586897,0.0031604305257807146,0.17996927144188637,0.0017740011416500603,0.10833333333333334,0.10753496455442009,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2027,30,core_12_cell_factorial,1,0.003113476273544284,0.19486025208140156,0.002054286485802864,0.025,0.02492007944474393,-0.39284602376221994,-0.39284602376221994,0.030563404798315992,1.8236604103173284,1.008903616536347,-0.22791388453915715,0.015744274809160304,0.23544067808558422,0.005694577845836224,0.012630798535616019,0.04058042600418266,-0.0036402913600333603,0.003113476273544284,0.19486025208140156,0.002054286485802864,0.025,0.02492007944474393,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,42,30,core_12_cell_factorial,1,0.0,0.1819342352823499,0.04274009686934943,0.05555555555555555,0.05589561693659386,0.07411595964995156,0.07411595964995156,0.06482756869624665,8.84317181265045,1.701092887975405,-0.8923134601778454,0.00224481858087459,0.19836394098322432,0.00017774192556031432,0.00224481858087459,0.01642970570087443,0.04256235494378912,0.0,0.1819342352823499,0.04274009686934943,0.05555555555555555,0.05589561693659386,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,123,30,core_12_cell_factorial,1,0.44328167240031663,0.3312008543826472,0.7617335306724455,0.24444444444444444,0.24723333295613328,0.26311995531455096,0.26311995531455096,0.23622764485976586,5.999480286651939,1.2384757617900046,-0.7213896155357361,0.003148454042548474,0.17246531144325397,0.0007827480952559997,-0.44013321835776814,-0.1587355429393932,0.7609507825771895,0.44328167240031663,0.3312008543826472,0.7617335306724455,0.24444444444444444,0.24723333295613328,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,777,30,core_12_cell_factorial,1,0.0028398771588019683,0.17502485522796912,0.0030352851903376753,0.041666666666666664,0.042297683576882114,0.03613600361834449,0.03613600361834449,0.08581756862386015,5.107743970863734,1.0564939516861822,-0.6205507391028934,0.002542211300129229,0.18179491818166962,0.015224279547031538,-0.00029766585867273916,0.006770062953700501,-0.012188994356693864,0.0028398771588019683,0.17502485522796912,0.0030352851903376753,0.041666666666666664,0.042297683576882114,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,2026,30,core_12_cell_factorial,1,0.010737833594976452,0.20363757336867733,0.017791283125796847,0.2111111111111111,0.213405742984789,0.20737727923204052,0.20737727923204052,0.19016532262504104,7.780709559480427,1.5919885614555418,-0.8626166827148861,0.009169705041154509,0.17508301632825168,0.004628126292474339,-0.0015681285538219434,-0.028554557040425643,0.013163156833322507,0.010737833594976452,0.20363757336867733,0.017791283125796847,0.2111111111111111,0.213405742984789,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,3407,30,core_12_cell_factorial,1,0.0,0.2242831458983045,0.04325281396231188,0.030555555555555555,0.030686573002059053,0.040400177733900096,0.040400177733900096,0.028643146955637164,11.527950583188558,2.003112571871507,-0.9759364545345306,0.0025789813023855577,0.1732200401041768,3.418113953082968e-05,0.0025789813023855577,-0.051063105794127706,0.043218632822781045,0.0,0.2242831458983045,0.04325281396231188,0.030555555555555555,0.030686573002059053,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,11,30,core_12_cell_factorial,1,0.3804643145293643,0.23523542753852575,1.0,0.027777777777777776,0.02804847827890504,0.022038029708602,0.022038029708602,0.015395491239694411,12.225072664917693,2.286246355075429,-0.9878570258617401,0.0024443358072974535,0.16806952693725868,0.00021192306509114402,-0.37801997872206683,-0.06716590060126706,0.9997880769349089,0.3804643145293643,0.23523542753852575,1.0,0.027777777777777776,0.02804847827890504,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,314,30,core_12_cell_factorial,1,0.40338033992144595,0.29621535182573366,0.9073417669598269,0.2111111111111111,0.21290332861159458,0.13621518586818182,0.13621518586818182,0.16370711211958908,7.2188797429389915,1.3615803285513723,-0.7417149053679573,0.013441005907538887,0.17252084075599772,0.006162859457408591,-0.38993933401390707,-0.12369451106973595,0.9011789075024184,0.40338033992144595,0.29621535182573366,0.9073417669598269,0.2111111111111111,0.21290332861159458,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,2718,30,core_12_cell_factorial,1,0.3804643145293643,0.23492184700999763,1.0,0.08888888888888888,0.08951000458646986,0.05508573832066255,0.05508573832066255,0.046450217309503945,10.786845265970772,2.0976030390769096,-0.9508387545744578,0.0030106879421947915,0.16581503748529758,0.010356885277841392,-0.3774536265871695,-0.06910680952470005,0.9896431147221586,0.3804643145293643,0.23492184700999763,1.0,0.08888888888888888,0.08951000458646986,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,9001,30,core_12_cell_factorial,1,0.003172877444835199,0.1773037532035832,0.0005605706883056068,0.07222222222222222,0.07321956104560726,0.02570242836977994,0.02570242836977994,0.06314837919353425,5.429977303431892,1.1157776213946893,-0.5482122970951928,0.014116885219362149,0.17741599259285928,0.007413889164236957,0.01094400777452695,0.00011223938927609756,-0.0068533184759313505,0.003172877444835199,0.1773037532035832,0.0005605706883056068,0.07222222222222222,0.07321956104560726,0.0,0.0,0.0,0.0,0.0
