dataset,seed,beta,method,endpoint,fraction_of_full_final,target_value,reached,round,E2E_broadcast_bytes
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,1.0,765844.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.6,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,383607.0
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.8,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,F1,0.9,0.0,True,0.0,509495.0
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,F1,0.95,0.0,True,0.0,509495.0
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,509495.0
CICIDS2017_COVERAGE_R1,42,0.8,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,1.0,1019650.0
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,F1,0.9,0.0,True,0.0,509412.0
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,F1,0.95,0.0,True,0.0,509412.0
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,509412.0
CICIDS2017_COVERAGE_R1,42,0.8,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,1.0,1018220.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,0.8,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,F1,0.9,0.0,True,0.0,572534.0
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,F1,0.95,0.0,True,0.0,572534.0
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,572534.0
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,2.0,1712421.0
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,F1,0.9,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,F1,0.95,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,2.0,1712661.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,F1,0.9,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,F1,0.95,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,1.0,1018700.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,1.0,1018700.0
