dataset,seed,beta,method,endpoint,fraction_of_full_final,target_value,reached,round,E2E_broadcast_bytes
CICIDS2017_COVERAGE_R1,42,0.2,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,193980.0
CICIDS2017_COVERAGE_R1,42,0.2,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,193980.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Only,F1,0.9,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Only,F1,0.95,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,F1,0.9,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,F1,0.95,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,F1,0.9,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,F1,0.95,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,0.0,131723.0
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.2,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,194201.0
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.4,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,F1,0.9,0.0,True,0.0,257773.0
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,F1,0.95,0.0,True,0.0,257773.0
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,257773.0
CICIDS2017_COVERAGE_R1,42,0.4,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,0.0,257773.0
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,F1,0.9,0.0,True,0.0,257048.0
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,F1,0.95,0.0,True,0.0,257048.0
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,257048.0
CICIDS2017_COVERAGE_R1,42,0.4,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,257048.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,F1,0.9,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,F1,0.95,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,F1,0.9,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,F1,0.95,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,F1,0.9,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,F1,0.95,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,257930.0
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,257930.0
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,257930.0
CICIDS2017_COVERAGE_R1,42,0.4,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,0.0,257930.0
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.4,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,257419.0
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.6,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,F1,0.9,0.0,True,0.0,383732.0
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,F1,0.95,0.0,True,0.0,383732.0
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,383732.0
CICIDS2017_COVERAGE_R1,42,0.6,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,0.0,383732.0
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,F1,0.9,0.0,True,0.0,383162.0
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,F1,0.95,0.0,True,0.0,383162.0
CICIDS2017_COVERAGE_R1,42,0.6,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,383162.0
